date,funding,perpetual,spot,spread,total
2019-09-30,0.005981484495900633,0.18515504099368807,-0.18271710060827798,0.0024379403854100997,0.008419424881310738
2019-10-31,0.008990278967751427,-0.12018359110022402,0.11874993895356847,-0.001433652146655511,0.0075566268210959155
2019-11-30,0.006117012814597668,0.17834261594983616,-0.17749519053330118,0.0008474254165349417,0.006964438231132607
2019-12-31,0.001854749007710241,0.037859414882567194,-0.0368860661744358,0.0009733487081314211,0.002828097715841663
2020-01-31,0.017832237998407323,-0.2764856407989106,0.2741741395054283,-0.002311501293482508,0.01552073670492482
2020-02-29,0.045124039642808665,0.08572297422881103,-0.08559911882686479,0.0001238554019462741,0.04524789504475493
2020-03-31,-0.004941952957557608,0.19209529321358484,-0.19192361752076628,0.00017167569281875726,-0.004770277264738845
2020-04-30,0.00019004469549156213,-0.31604271955745555,0.31510433048435343,-0.0009383890731021482,-0.0007483443776105883
2020-05-31,0.009619389203016054,-0.1083162847627868,0.10903034020284207,0.000714055440055271,0.010333444643071338
2020-06-30,0.0074348133967525225,0.023967375310580956,-0.024357753017643265,-0.00039037770706229285,0.007044435689690222
2020-07-31,0.019423262805643146,-0.22218124437694028,0.2213173954557616,-0.0008638489211786664,0.01855941388446448
2020-08-31,0.024484741623569815,-0.034573625554764245,0.03449131764303143,-8.230791173284785e-05,0.024402433711836976
2020-09-30,0.006713231100238343,0.06969164501264881,-0.06843952177722216,0.001252123235426644,0.007965354335664991
2020-10-31,0.00532880965864245,-0.2527258792875073,0.2529726569676843,0.00024677768017699833,0.005575587338819449
2020-11-30,0.01913802186180228,-0.3744752989266996,0.3727886677819644,-0.0016866311447352766,0.017451390717067007
2020-12-31,0.021215351230877904,-0.4022391247814821,0.4028980901549511,0.0006589653734689637,0.021874316604346872
2021-01-31,0.05907497210335549,-0.2107699191277094,0.210449090269671,-0.0003208288580384994,0.058754143245317005
2021-02-28,0.0727546144174719,-0.3461916115470513,0.34577302126557785,-0.0004185902814735629,0.07233602413599838
2021-03-31,0.03167231619339202,-0.2868951796326162,0.2861780692700901,-0.0007171103625262124,0.030955205830865813
2021-04-30,0.04551404814105687,-0.0023953888741089988,0.0038470564885247256,0.0014516676144157546,0.04696571575547267
2021-05-31,0.022755786160413353,0.38680807699286057,-0.38632869445507173,0.0004793825377887132,0.023235168698202094
2021-06-30,0.0006016043328998168,-0.016043328998167586,0.01590927788492038,-0.00013405111324720647,0.00046755321965261034
